player_id,player_name,n_games,slope,r,p_two_sided
thompkl01,Klay Thompson,136,0.06364740173945851,0.13441645917283618,0.11871925929222568
valanjo01,Jonas ValanÄiÅ«nas,220,0.06415485682232179,0.20978726483712667,0.0017551395428747466
durenja01,Jalen Duren,118,0.06443482968228084,0.18553519958305204,0.04427547864478631
allengr01,Grayson Allen,198,0.06565547433639297,0.19601700781256107,0.005646365840406495
murphtr02,Trey Murphy III,74,0.0658568508442493,0.18575965802533803,0.11306052552189537
anthoco01,Cole Anthony,191,0.06606618898335967,0.24459459221831276,0.0006493400544994493
doncilu01,Luka DonÄiÄ,186,0.06641019182363463,0.08929214649085457,0.22551405249799236
siakapa01,Pascal Siakam,204,0.06641350245221107,0.14870614424196066,0.03377782855697713
brissos01,Oshae Brissett,62,0.06643546331976884,0.3909514906100841,0.0016792988750664655
hachiru01,Rui Hachimura,121,0.06656039877366153,0.2102482079730238,0.020631577079514053
brownbr01,Bruce Brown,204,0.0674248928936056,0.29366704884286104,2.016956868841184e-05
garlada01,Darius Garland,127,0.06885972446687995,0.11796955419454698,0.18652732795981222
tateja01,Jae'Sean Tate,73,0.0691894553762118,0.1710020950754082,0.14803600826005367
mccontj01,T.J. McConnell,70,0.06954770570859822,0.2335807963177097,0.0516425295848434
nancela02,Larry Nance Jr.,60,0.07177592009588794,0.2326823497878239,0.0736019698537634
aytonde01,Deandre Ayton,62,0.07188567027168317,0.12090985845754887,0.34921630094259554
thompam01,Amen Thompson,57,0.07192973495468538,0.3208146408633168,0.014968924019557728
lylestr01,Trey Lyles,70,0.07224942062617962,0.3359030583742382,0.004470969656119629
johnsca02,Cameron Johnson,61,0.0725229335117245,0.200443161206549,0.12140823289373848
anunoog01,OG Anunoby,62,0.07275824439138408,0.16580042415687293,0.19778768554051424
avdijde01,Deni Avdija,218,0.07369897118950137,0.268188470261986,6.053636374824716e-05
poolejo01,Jordan Poole,221,0.07556643161166746,0.15657547276324316,0.019867324288568505
mitchdo01,Donovan Mitchell,125,0.07558897402300534,0.109762653952648,0.22301856799762648
gallida01,Danilo Gallinari,61,0.07591879129537497,0.2636846490925004,0.040040366638171475
poweldw01,Dwight Powell,77,0.07594760220987885,0.2633640964056132,0.02065519666339635
jonestr01,Tre Jones,135,0.0776963950353392,0.23562465488836476,0.0059395610003592
miltosh01,Shake Milton,71,0.07779897327320529,0.44542900787697093,9.921901655390981e-05
thomaca02,Cam Thomas,61,0.07939808596883217,0.23130048883821905,0.07288508276465809
millspa02,Patty Mills,76,0.08154174975358298,0.28485522142409525,0.01262920853396212
murraja01,Jamal Murray,60,0.08162029510113751,0.1614697331634905,0.21774911126097926
leonaka01,Kawhi Leonard,63,0.0821958241683808,0.08718720396080254,0.4968434129880588
johnske04,Keldon Johnson,192,0.08265608172406953,0.18338668742455871,0.010892853761379093
willija06,Jalen Williams,136,0.08383654590244974,0.15934351339305913,0.06388895899348358
hayeski01,Killian Hayes,132,0.0844776021370879,0.28862130020417415,0.0007902550690610588
greenja05,Jalen Green,210,0.08525061062403354,0.17291747176443367,0.012080281246578999
quickim01,Immanuel Quickley,212,0.08570143784369849,0.33156142496912716,7.832180401262915e-07
bolbo01,Bol Bol,65,0.08611883990023983,0.4302019647859646,0.00034787120216441604
pritcpa01,Payton Pritchard,77,0.08744678821348412,0.22791506942615422,0.046200593493341734
lowryky01,Kyle Lowry,113,0.08925616426032348,0.25956810125349067,0.005497789733426383
ingrabr01,Brandon Ingram,59,0.08926273824825445,0.1126171278275907,0.39575526144887824
wagnefr01,Franz Wagner,216,0.08956054350777545,0.1520454066115843,0.02544073420322538
paulch01,Chris Paul,60,0.09015469151572959,0.20525759868311813,0.11565500861204285
bridgmi01,Mikal Bridges,232,0.09029404051089533,0.1507154790058688,0.021655129896354798
